"","I1","","NG","AIC","BIC"
"1","NG","lhel.lag1",0.069221,0.069221,0.069221
"2","NG, BIC","ces003.lag1",0.01354,0.01354,0.01354
"3","AIC, BIC","hsmw.lag1",-0.005898,-0.005898,-0.005898
"4","BIC","hsbsou.lag1",0.063498,0.063498,0.063498
"5","ALL","fygt1.lag1",0.082864,0.082864,0.082864
"6","NG","lhel.lag2",0.000463,0.000463,0.000463
"7","AIC, BIC","hsmw.lag2",-0.015681,-0.015681,-0.015681
"8","ALL","exrjan.lag2",-0.005784,-0.005784,-0.005784
"9","ALL","exrjan.lag3",-0.014856,-0.014856,-0.014856
"10","NG, BIC","ces003.lag4",0.015055,0.015055,0.015055
"11","ALL","exrjan.lag4",-0.008885,-0.008885,-0.008885
"12","ALL","exrcan.lag4",0.143248,0.143248,0.143248
